,area_name,point_node,point_dist,area,school_dist,school_cover_ratio,school_num,mid_school_dist,mid_school_cover_ratio,mid_school_num,station_dist,station_cover_ratio,station_num,hospital_dist,hospital_cover_ratio,hospital_num,sports_dist,sports_fac_cover_ratio,sports_fac_num,cultural_fac_dist,cultural_fac_cover_ratio,cultural_fac_num,community_ctr_dist,community_ctr_cover_ratio,community_ctr_num,museum_dist,museum_cover_ratio,museum_num,library01_dist,library01_cover_ratio,library01_num,art_mus_dist,art_mus_cover_ratio,art_mus_num,Neighbourhood_assoc_dist,Neighbourhood_assoc_cover_ratio,Neighbourhood_assoc_num,park01_dist,park01_cover_ratio,park01_num,park11_dist,park11_cover_ratio,park11_num,bicycles_parking_area_dist,bicycles_parking_area_cover_ratio,bicycles_parking_area_num,welfare_ctr_dist,welfare_ctr_cover_ratio,welfare_ctr_num,shopping_street_dist,shopping_street_cover_ratio,shopping_street_num,original_bus_dist,original_bus_stops_cover_ratio,original_bus_stops_num,metabo_hosp_dist,metabo_hosp_cover_ratio,metabo_hosp_num,restaurant_dist,restaurant_cover_ratio,restaurant_num,bus_stops_dist,bus_stops_cover_ratio,bus_stops_num,supermarket_dist,supermarket_cover_ratio,supermarket_num,library02_dist,library02_cover_ratio,library02_num,park02_dist,park02_cover_ratio,park02_num,worker_status_all_hhs_num,worker_status_farmer_hhs_num,worker_status_other_hhs_num,worker_status_not_farmer_hhs_num,worker_status_jobless_hhs_num,worker_all_num,worker_A_num,worker_B_num,worker_C_num,worker_D_num,worker_E_num,worker_F_num,worker_G_num,worker_H_num,worker_I_num,worker_J_num,worker_K_num,m_all_num,m_15mainus,m_40-44,m_45-49,m_50-54,m_55-59,m_60-64,m_65-69,m_70-74,m_75plus,f_all_num,f_15mainus,f_40-44,f_45-49,f_50-54,f_55-59,f_60-64,f_65-69,f_70-74,f_75plus,single_num,all_hhs_num,c01_walk,c01_train,c01_bus,c01_school_bus,c01_car,c01_taxi,c01_bike,c01_bicycle,c02_walk,c02_train,c02_bus,c02_school_bus,c02_car,c02_taxi,c02_bike,c02_bicycle,altitude_avg,altitude_std
0,àæìcè¨äwçZ,2168144485,93.0828959297563,1690140.9461556836,1162.6047518835358,0.8439835961596339,1,2381.1113628802664,0.17182717208839682,0.0,2751.8306228090405,0.0613283102596341,0.0,1622.2056410939779,0.4402114886818708,1.0,2537.4940198062122,0.18207137230528544,1.0,1651.748322228972,0.4253173031929739,0.0,1257.2247285463036,0.6074188384608008,0.0,3570.216265184754,0.0,0.0,3674.167584645864,0.0,0.0,10128.255968736266,0.0,0.0,439.8003588560482,0.9997513275838924,3,112.94907705352925,1.000000000000379,14,2551.047361836292,0.6084494646623451,1.0,2570.8067789074653,0.08484834410354113,0.0,1164.8018015369785,0.8512688648054942,1.0,1782.6473254654418,0.662818802769212,0.0,13281.397423355533,0.0,0.0,5373.731186627134,0.0,0.0,570.4277176600606,0.9214640676016205,1.0,466.7014333652983,1.000000000000379,13.0,1357.699262526942,0.9625970941952555,0.0,3668.733294274997,0.0,0.0,510.80886215861733,1.000000000000379,16,3072,9,4,1624,1356,2809,45,542,524,327,383,91,16,311,123,146,210,3496,322,195,302,258,188,166,184,261,893,3737,347,200,273,233,194,164,244,370,1081,809,3072,270,2116,1634,28,1950,16,394,170,318,2460,1840,30,1980,16,396,242,72.56431154355401,17.063708355956596
1,àﬂä}è¨äwçZ,3349881917,119.15590922909637,2938370.9609425194,2245.1556400327227,0.8303450412543059,1,1763.3595499426694,0.45502230801154897,0.0,2763.157305218296,0.6047731823128356,1.0,1012.344383787698,0.7391925372545308,1.0,3115.562985445357,0.41770445662411115,0.0,2646.182091516304,0.7917478416019579,1.0,2426.564470541976,0.8058758120266457,0.0,4732.365725483578,0.0,0.0,4728.810249432071,0.0,0.0,10329.866982035608,0.0,0.0,1241.262483935125,0.9969522491056887,5,788.5287417260588,0.968304011174872,9,2178.5969963807256,0.5520452187412014,1.0,2588.0611078329516,0.7637405696931602,2.0,1579.208428502688,0.9221084949845316,1.0,2001.4337627262512,0.8379329098834719,2.0,10360.893436654878,0.0,0.0,2590.184199926476,0.6647938173193174,1.0,1260.4983314250037,0.6617709718777249,0.0,1465.0671976634867,0.9798786709502706,5.0,1792.5128620370747,0.897023414464096,2.0,2420.1053927641237,0.8050717119554149,0.0,1188.3924997513454,0.9955664920705357,9,4719,4,10,2729,1878,4530,63,759,782,540,723,227,18,522,187,260,335,5140,571,339,410,327,366,347,435,466,700,5565,531,294,393,352,342,355,413,510,1227,1693,4719,778,2920,1744,64,2202,16,558,352,878,3286,1860,70,2212,16,564,406,51.98053685827327,23.405111384068103
2,àÌå©è¨äwçZ,3836703988,55.37379282406583,1035741.9083331089,147.1652137959143,0.9933475828140422,1,1759.8088320494426,0.045449156612534,0.0,666.4475135448537,0.9871145065389515,1.0,83.05912550334179,0.9973683244855025,1.0,507.11051678792944,0.944696469022244,1.0,433.515903661382,1.000000000000358,6.0,712.8170209810454,0.9755162990823119,0.0,2096.726630180056,0.8226698501070702,1.0,1839.6509045129885,0.028682566279398056,0.0,10460.127865630575,0.0,0.0,498.45380202228836,1.000000000000358,5,302.32412742239757,1.000000000000358,4,1831.4330844778685,0.7876738905059963,1.0,668.6805607249566,0.9141402531976307,1.0,449.10058880572427,0.9803059630104239,4.0,443.9329564154225,0.9812112578028367,5.0,4801.580320249845,0.0,0.0,2971.5948263260384,0.0,0.0,644.6272911468913,0.9376958259147233,0.0,852.5383419431229,0.9469821480625368,5.0,414.54116727019914,0.9877428997466856,1.0,1004.5887451965325,0.6183029437794834,0.0,114.80780959355164,1.000000000000358,4,1697,2,5,940,728,4132,28,264,321,183,207,2700,7,152,61,68,113,4282,103,386,395,250,154,123,139,193,390,2171,118,103,135,132,135,92,133,194,686,675,1697,5486,1608,286,24,510,8,132,202,5500,1810,304,30,514,8,132,202,37.91705920266087,23.604582680687493
3,âYâÍè¨äwçZ,4428873789,94.3424483680913,1803260.4423378843,336.77894213397326,0.9282308119483171,1,1085.496549377364,0.9394972575798054,1.0,305.392672624986,0.8482565836729733,1.0,221.49798030904407,0.9696354154927442,1.0,884.1643440663673,0.5995703655426227,0.0,477.5189417350585,0.7477158899332497,2.0,682.7360034424929,0.7699734398622362,1.0,1520.8983067110491,0.6985899766281463,0.0,3641.5661370842004,0.0,0.0,4222.490521174602,0.0,0.0,906.3187876932166,1.0000000000002882,16,919.1715278116562,1.0000000000002882,14,1735.8767061585515,0.10713960733146682,0.0,367.93854144282403,0.8826051169978608,3.0,333.5045241051715,0.9185959768123428,4.0,253.8254645335624,0.947072660768889,4.0,12091.28997579387,0.0,0.0,5319.230481870064,0.0,0.0,2735.7267130151604,0.0,0.0,357.0178758351796,1.0000000000002882,6.0,502.0206824630075,0.9816036809341676,2.0,485.83306912095424,0.7465403895387129,1.0,308.02213500945675,1.0000000000002882,11,4354,9,9,2489,1758,4184,62,728,809,529,590,179,20,461,187,173,339,4809,450,239,388,390,382,335,406,476,728,4927,441,267,369,375,333,342,389,465,992,1359,4354,474,4326,746,82,2248,18,520,220,536,4884,850,92,2260,22,522,266,32.23752006023242,14.782880431301399
4,âYãΩè¨äwçZ,3371265520,58.95512999954045,1393114.7040489833,918.9853266952358,0.9299222129069643,1,1779.2111700979096,0.7882652278820118,0.0,1759.6140653389468,0.7498020531424545,0.0,193.38965409871793,0.9597955432623064,1.0,1869.4431924937076,0.5207494511710173,0.0,1873.7180357234502,0.7386265423023599,1.0,1766.636004179784,0.7228637767294246,0.0,6849.954967355531,0.0,0.0,1876.1107848161305,0.6189800316450333,0.0,15213.356202806053,0.0,0.0,145.45944065029235,1.000000000000099,19,104.10892022781118,1.000000000000099,13,2200.1080362989146,0.47939964806328683,0.0,1764.8284270029305,0.79257122366784,1.0,1228.952654423843,0.9622511364866055,2.0,1177.8205755018544,0.9158759256894462,1.0,308.52324352432214,0.9722434266998761,21.0,1570.0554765458903,0.7780271173781106,1.0,1506.0098160168818,0.769309062695337,0.0,146.5255503907263,1.000000000000099,14.0,1814.1273405159861,0.7938607006828886,1.0,1929.3199836609633,0.49333742844155376,0.0,156.8870619211167,1.000000000000099,13,6146,7,8,3811,2135,6121,65,1053,1142,651,723,293,20,1022,225,184,525,7004,981,596,582,478,365,377,414,471,691,6482,967,487,489,407,327,310,399,479,1021,2444,6146,1474,5700,1172,202,2044,30,762,1438,1606,6268,1258,204,2044,30,784,1548,26.386226765914913,15.753438221209795
5,â¨ñÏè¨äwçZ,2165084531,195.52720592401147,5031352.234100443,1308.124857567967,0.7825759488185297,1,2717.7694836668734,0.24911647023404251,0.0,6663.451380568793,0.0,0.0,1580.7766025352096,0.6184367892368442,1.0,1895.6217952009288,0.4088758278171727,1.0,2498.928210992538,0.561776486210749,0.0,1944.6092973580453,0.3366919183435868,1.0,4278.8082253941175,0.0,0.0,8873.647546126987,0.0,0.0,14307.028278730519,0.0,0.0,983.3115261130613,0.9960043557955252,7,1029.7517665352902,0.934450319240784,9,2731.8632332676793,0.15343552836947738,0.0,6732.898404527865,0.0,0.0,1359.290924518656,0.8657082778484076,4.0,1922.2433783161816,0.6547546763052097,1.0,14233.556733349786,0.0,0.0,1483.0323820797832,0.49280789286646565,1.0,1483.0323820797832,0.6443447180240411,1.0,1386.545571689412,0.818027840802779,8.0,2320.8201528940017,0.5503583014682514,0.0,1911.0099386808915,0.3319265964315392,1.0,868.7116957980426,0.9646254063441139,5,2965,25,26,1752,1108,3078,41,504,413,322,493,166,70,294,190,235,258,3442,322,196,288,257,246,221,246,316,503,3511,284,155,284,247,229,244,248,354,718,933,2965,544,768,1102,20,2640,4,584,236,594,956,1312,30,2654,4,596,258,48.91377027091672,37.91598399231204
6,âƒìáè¨äwçZ,332324428,284.50034707078424,3863657.825671591,1363.8232118060807,0.7946090165366858,1,1685.7463787595834,0.8003421920997564,1.0,2156.4532824101902,0.5591963025614012,0.0,456.50580638612746,0.6798455701081769,1.0,801.5204692967088,0.750622021063894,5.0,2143.0812527946937,0.4218520061131968,1.0,1612.6975173322107,0.8378147721441404,2.0,7898.156184426777,0.0,0.0,1603.4530018873743,0.8242145933969762,1.0,16261.557419877303,0.0,0.0,1412.896679494989,0.8493598941267202,10,1264.0050413129543,0.9707063722776983,6,1185.041769935342,0.3014487516648033,2.0,845.53340709239,0.7710121289128345,1.0,2094.7279755770824,0.6392814809995121,0.0,1413.685622298911,0.8192180312913403,1.0,1745.8551075201246,0.7812406790872138,5.0,1786.8016936171339,0.802272610611136,0.0,1804.9900330881255,0.7673828355932979,2.0,698.7155676639443,0.9423713790040757,18.0,2113.1075575872296,0.6226896269301835,0.0,1656.662200732207,0.8012661640635099,1.0,1541.9786930537848,0.8427200683954125,8,2950,5,4,1820,1032,2999,32,551,565,347,409,193,14,379,82,80,244,3280,438,206,319,270,163,158,177,205,307,3236,442,210,307,214,158,171,216,230,464,1184,2950,722,2090,350,98,708,12,206,582,918,2384,398,126,710,12,208,662,4.803515891780644,4.916971913140526
7,äõãèè¨äwçZ,3662980627,33.53939229119407,2214688.898995198,96.8900135880992,0.6479665729421377,1,972.0289109544566,0.5728699498907714,1.0,2837.722616548089,0.0,0.0,229.43765933428816,0.6707002549295463,1.0,3555.0342879894697,0.4716851307571907,0.0,1882.5542588598885,0.585267508294756,2.0,219.25809494293244,0.5841631403096372,1.0,2525.5742506341517,0.0,0.0,6312.4360810072985,0.0,0.0,1817.7224650977032,0.4742608274948967,1.0,388.25269857716137,0.9999394179486837,14,775.2800703215269,0.9977839026242624,12,1665.943828464843,0.3714603712581795,2.0,2775.0084112152726,0.003723051161253409,0.0,266.004864950073,0.8673492758813824,3.0,1411.7523146744327,0.6929815790187093,2.0,14098.04291971697,0.0,0.0,7325.983425793167,0.0,0.0,4742.479656938263,0.0,0.0,1098.9875244029042,1.0000000000001383,13.0,1080.4200112035787,0.8980365094129484,1.0,3156.7030130440567,0.07882956272549699,0.0,1098.9875244029042,0.9979529932680602,12,4295,26,9,1890,2253,3193,61,433,541,355,484,141,43,341,206,163,290,4345,374,240,332,323,259,256,341,484,1017,4736,355,221,330,280,292,255,366,585,1325,1511,4295,292,2656,1962,72,2098,14,568,192,358,3086,2188,82,2106,14,576,222,27.37142597754497,14.293803676048295
8,ä‚åÀè¨äwçZ,1956529483,7.990026467918754,1042609.1506166498,706.2389005329434,0.808373505039347,1,596.9384934184291,0.8184531320699959,1.0,3031.6434948394935,0.0,0.0,336.24477163214004,0.9403927562372874,1.0,1810.9771503443746,0.40883912515077425,0.0,688.6954527671339,0.7490100802564379,1.0,593.3938590844657,0.6893680881371808,1.0,4220.6213957229165,0.0,0.0,4152.637715184026,0.0,0.0,10005.27809927442,0.0,0.0,217.96561859515475,1.0000000000004812,7,314.27115722811385,1.0000000000004812,5,2400.0064923744544,0.7125287481409053,0.0,2874.2054490694663,0.0,0.0,1307.4950810699397,0.4940114466286674,0.0,317.8513006078186,0.9445917215254344,1.0,12134.965553893695,0.0,0.0,4052.2313171652972,0.0,0.0,866.4203930651042,0.6211483072260479,0.0,141.31355034130232,1.0000000000004812,4.0,627.1173613298819,0.6585675478865575,2.0,3843.1922369765157,0.0,0.0,141.31355034130232,1.0000000000004812,5,2847,5,3,1630,1132,2860,38,404,507,315,416,118,11,355,156,204,221,3487,378,223,299,299,187,154,211,296,699,3562,370,224,306,254,179,170,271,363,755,610,2847,258,1928,1800,42,2284,18,552,182,308,2312,2112,44,2318,18,568,288,62.51159792353271,20.670780741679508
9,ãvó¢ïlè¨äwçZ,1726184140,206.48477572591852,2067783.873622084,2264.5074298365957,0.7026084596732701,1,2636.2695498075586,0.22985282462477388,0.0,2229.5313432808052,0.736649333636971,0.0,669.5117414719435,0.8175969786268299,1.0,2123.3806714241946,0.41087596659426656,0.0,1078.0229201512009,0.8975489483779997,1.0,2161.7132077931715,0.6754011204880926,0.0,3108.263552390721,0.6114484662801241,0.0,2663.923464442026,0.36371907916136353,0.0,6588.881848532425,0.0,0.0,499.61846315909236,0.998163550555364,8,356.3473570672347,0.9838728152189128,11,1989.6130335163782,0.7932850634908891,0.0,2328.408970015915,0.7085224833774095,0.0,1528.3948798947538,0.9755422126762834,7.0,1518.4975938204427,0.6537822314908042,0.0,14531.369303151694,0.0,0.0,6793.584066423297,0.0,0.0,2195.739738262788,0.7555557693732851,0.0,719.4450512611188,0.9999999999999127,11.0,2195.739738262788,0.7235676884036397,0.0,2381.2913964787813,0.3443090603571076,0.0,447.6220771218518,0.9900459097490755,13,5317,6,8,3179,1998,5730,62,828,932,544,600,1252,17,554,192,232,363,6890,892,512,576,527,355,284,346,408,838,6193,874,423,496,391,282,284,371,476,1105,1810,5317,2308,3550,1006,66,2156,4,492,890,2446,4060,1076,68,2162,4,500,976,18.71919435373282,12.941708019099059
