,area_name,point_node,point_dist,area,school_dist,school_cover_ratio,school_num,mid_school_dist,mid_school_cover_ratio,mid_school_num,station_dist,station_cover_ratio,station_num,hospital_dist,hospital_cover_ratio,hospital_num,sports_dist,sports_fac_cover_ratio,sports_fac_num,cultural_fac_dist,cultural_fac_cover_ratio,cultural_fac_num,community_ctr_dist,community_ctr_cover_ratio,community_ctr_num,museum_dist,museum_cover_ratio,museum_num,library01_dist,library01_cover_ratio,library01_num,art_mus_dist,art_mus_cover_ratio,art_mus_num,Neighbourhood_assoc_dist,Neighbourhood_assoc_cover_ratio,Neighbourhood_assoc_num,park01_dist,park01_cover_ratio,park01_num,park11_dist,park11_cover_ratio,park11_num,bicycles_parking_area_dist,bicycles_parking_area_cover_ratio,bicycles_parking_area_num,welfare_ctr_dist,welfare_ctr_cover_ratio,welfare_ctr_num,shopping_street_dist,shopping_street_cover_ratio,shopping_street_num,original_bus_dist,original_bus_stops_cover_ratio,original_bus_stops_num,metabo_hosp_dist,metabo_hosp_cover_ratio,metabo_hosp_num,restaurant_dist,restaurant_cover_ratio,restaurant_num,bus_stops_dist,bus_stops_cover_ratio,bus_stops_num,supermarket_dist,supermarket_cover_ratio,supermarket_num,library02_dist,library02_cover_ratio,library02_num,park02_dist,park02_cover_ratio,park02_num,worker_status_all_hhs_num,worker_status_farmer_hhs_num,worker_status_other_hhs_num,worker_status_not_farmer_hhs_num,worker_status_jobless_hhs_num,worker_all_num,worker_A_num,worker_B_num,worker_C_num,worker_D_num,worker_E_num,worker_F_num,worker_G_num,worker_H_num,worker_I_num,worker_J_num,worker_K_num,m_all_num,m_15mainus,m_40-44,m_45-49,m_50-54,m_55-59,m_60-64,m_65-69,m_70-74,m_75plus,f_all_num,f_15mainus,f_40-44,f_45-49,f_50-54,f_55-59,f_60-64,f_65-69,f_70-74,f_75plus,single_num,all_hhs_num,c01_walk,c01_train,c01_bus,c01_school_bus,c01_car,c01_taxi,c01_bike,c01_bicycle,c02_walk,c02_train,c02_bus,c02_school_bus,c02_car,c02_taxi,c02_bike,c02_bicycle,altitude_avg,altitude_std
0,â°ê{âÍésñèää«ì‡,1675719000,12.814425946482407,10518357.834838957,748.6009349938448,0.9753135733170828,8,873.532112221018,0.7625091793050287,5.0,325.8416980748192,0.838888163437856,4.0,613.3975490322409,0.9244174001619748,7,819.6772181167142,0.7092699525326037,4.0,485.6040999454085,0.8941953592638893,13.0,1269.0219319501036,0.7463445027543186,5,784.5492422009632,0.7220154071567301,2.0,265.89072691776295,0.7045376581060921,3.0,8136.304498752989,0.0,0.0,164.18027387371126,0.9977300171405213,66,183.34591946698032,0.9946957535070322,31,332.34615810525986,0.9040576669097633,12,178.71331120271645,0.8777425081530587,8.0,400.59014529622766,0.9970135454651988,22,134.0098623652092,0.9949501413009383,30,6671.690953372258,0.0,0.0,633.0924594484551,0.6425802105415998,2.0,126.40452525969073,0.8655533556765214,51.0,236.7473447304262,0.9981342362201217,52,248.05963619482623,0.9090730235757433,15,199.94055210993324,0.6593857510715428,2,199.94055210993324,0.9999841092837387,40,28332,37,37,16021,11630,26292,467,4925,5170,3071,3759,1950,95,2360,885,988,1853,28988,2819,1923,2327,2301,1958,1820,2013,2350,3880,30233,2706,1821,2328,2246,1940,1797,2044,2568,5915,11747,28332,6136,20064,7674,512,8480,160,2346,3548,6924,22636,8298,548,8556,160,2378,4010,21.23463965576307,16.740353354231452
1,í«ïl,9245288598,24.621292176128907,7162674.928279385,273.07215691142545,0.9253220186178815,4,594.9953238649281,0.6950336378263932,2.0,1065.7022275155348,0.6317432932776251,1.0,1207.150751491472,0.9278745133131837,4,231.20335467029605,0.7156091001848325,6.0,1655.4941979000387,0.6913167398871783,2.0,521.9464624375553,0.7247960712438573,3,7410.569129532121,0.0,0.0,512.7019469927188,0.643918266789692,1.0,15773.970364982644,0.0,0.0,322.14562460033386,0.9681297792179122,43,746.4185106641517,0.9938024845535327,34,1535.4791213850272,0.5394043058575699,3,690.4403521977347,0.7063678310979152,4.0,1003.9769206824269,0.8851562826208197,5,322.9345674042559,0.7687750116909152,7,808.7461948526544,0.890624494008601,29.0,696.0506387224789,0.7094712840718154,1.0,714.2389781934701,0.6707506504819452,3.0,291.32277406881553,0.9878077829018258,41,1022.3565026925743,0.8246510285391572,4,565.9111458375517,0.569223383387527,1,585.3595961282076,0.9667250224249904,38,13903,16,19,8130,5374,13212,190,2443,2662,1460,1618,649,50,1810,457,383,1057,15570,1914,1138,1316,1072,823,844,916,1172,2124,15229,1832,1011,1162,971,776,760,1013,1408,2891,5165,13903,2692,12134,3228,408,4332,68,1516,2770,3152,13604,3558,446,4350,68,1550,3066,19.1410663870355,23.33431135483784
2,ìcâY,3363502710,20.348873382596768,6365070.974016921,586.2793270299863,0.8756106085215273,2,1661.9629134809657,0.7572094851249164,1.0,471.92462777201473,0.7937466609074549,3.0,687.3010670907761,0.8785756944086753,3,2218.5645973464602,0.03019053283911899,0.0,1716.8317145063331,0.6405757085594372,0.0,1322.4667379844582,0.7924226932215207,2,3808.180710738586,0.0005608803543317759,0.0,3551.1049850715194,0.0,0.0,12171.581946189108,0.0,0.0,607.514298157597,0.9875882292513956,19,483.22295127196145,0.9826390161132137,22,966.3697223943485,0.7020304534826897,2,1318.381287945813,0.8166512943317981,1.0,207.73241426707062,0.9015666961898793,6,372.69404085730446,0.8661074362654669,4,2504.8244008083752,0.775787675982177,0.0,3641.122219928947,0.0,0.0,2522.0373717054226,0.0,0.0,569.6039894852319,0.9514266404192355,13,304.6449163215543,0.9285136057190267,3,1432.0364787156595,0.7922871426717158,1,569.6039894852319,0.999725687054803,24,7013,14,13,4194,2602,8569,106,1174,1421,899,867,2049,29,769,235,251,539,9247,733,617,827,720,572,525,582,644,1084,7956,685,419,655,563,564,531,560,709,1596,2437,7013,3464,7134,1456,140,2594,16,706,692,3548,8254,1582,156,2602,16,716,748,37.95382200643472,29.342774310034525
3,àÌå©,4030135197,220.36198478944257,2708696.1132697538,1167.835405761291,0.9944793158540278,3,2257.848024014819,0.15512040072971084,0.0,1018.1317055102303,0.8930474585791917,2.0,1103.7293174687186,0.9971341774517227,2,1005.149708753306,0.8324978029300232,1.0,226.81555630457694,0.9072512464573774,6.0,1064.5012129464221,0.9689462600407858,1,2594.765822145432,0.8015206835872273,1.0,2337.690096478365,0.028682566279398056,0.0,10958.167057595952,0.0,0.0,991.1836104017142,0.999852136699305,11,413.3081791255594,0.9999794525504356,13,2329.472276443245,0.7298241653283568,1,1020.3647526903334,0.6980204115496876,2.0,800.7847807711009,0.95176918869632,4,795.6171483807991,0.970227805425184,6,5299.61951221522,0.0,0.0,3469.6340182914146,0.0,0.0,996.311483112268,0.7375066416357775,1.0,1350.5775339084994,0.9590710822615641,5,766.2253592355758,0.9877453641536132,2,1356.2729371619096,0.6616188448759333,1,932.020754156473,1.0000000000002938,13,3567,3,14,2075,1424,6102,60,658,799,423,436,2796,15,334,117,133,262,6397,290,501,562,429,321,294,320,392,695,4477,348,241,313,331,294,256,319,395,1121,1155,3567,5620,2510,404,36,810,14,238,306,5650,2788,438,46,814,14,238,308,58.303995210947534,33.055828455384315
4,àﬂä},2693807740,142.05788649808065,11928261.284649378,785.9395929454156,0.8561592229640721,6,604.7402544475395,0.6378905641867877,4.0,1442.7482824872802,0.48364840380910523,1.0,1262.5700404162553,0.8645857339745249,6,989.4977771170751,0.5669738122828644,1.0,1648.7041837840638,0.6265518799100956,3.0,1666.7184478109598,0.5952919135855795,2,3972.5197027525637,0.0,0.0,3848.9232267010557,0.0,0.0,10100.688959304583,0.0,0.0,1293.4278652189666,0.9992294568424059,37,1169.4931598065582,0.968387063305653,61,1961.1890163228306,0.44499193503528844,2,1078.0704384928733,0.720359228209852,3.0,1288.5673918634316,0.9404966020561317,20,1273.6999360327068,0.8833020624557322,10,8857.942413923856,0.0,0.0,1111.0321771954602,0.7277180297610243,2.0,1994.2740315186418,0.8016406001607569,6.0,1393.1217843146117,0.9620936864197375,38,1504.6791608758715,0.819597981315013,5,1660.2593700331076,0.5824041596564213,1,1111.1289952962898,0.9963611779238107,64,25203,52,59,14753,9743,25027,348,3834,4382,2922,3700,1267,138,2878,1123,1597,2029,28515,3639,1941,2399,1911,1813,1710,1947,2231,4160,30221,3360,1802,2198,1875,1830,1726,1963,2585,6414,8117,25203,3562,16244,10410,350,15188,102,4404,2846,4310,18522,11418,396,15284,102,4450,3274,48.9818180539426,31.392769715489646
5,ëÂí√,3329840563,11.627239279165144,6023439.172160202,1362.9068505857865,0.9739050159916333,6,1759.126340288438,0.6736297423648111,2.0,798.8648061731327,0.832665462969702,4.0,759.1431549986448,0.974773841902691,6,1135.2378959096936,0.6516323058010332,4.0,2218.8457326461325,0.55743493674344,1.0,1626.8243998709092,0.5423954505907003,1,1875.6120976221232,0.565919659285256,1.0,4822.041579482139,0.0,0.0,4966.304312085674,0.6792520072783209,0.0,371.5657980073389,0.9999999999998636,34,523.564144686884,0.9999999891991587,46,2422.893588559995,0.6026862848686497,3,819.8326174564089,0.8878567982219344,7.0,227.48561581336344,0.965455475786457,11,839.1922355085892,0.7381035071456172,2,11107.375766704943,0.0,0.0,4335.316272781137,0.0,0.0,1751.8125039262343,0.8267037572713998,7.0,707.522059409316,0.9999999999998636,20,857.3413915737178,0.8718064549187333,7,1776.3225068078698,0.5786276652395637,1,578.2847506715694,0.9999999999998636,57,16413,31,31,9743,6287,18372,268,3048,3377,2075,2334,2750,81,1544,618,720,1149,20017,2143,1185,1478,1396,1247,1143,1187,1433,2877,19711,2018,1138,1465,1344,1372,1075,1275,1710,3889,4978,16413,5734,17014,3072,302,8206,74,1790,1882,6102,19050,3430,334,8264,74,1806,2168,26.026373831907712,21.37644506246939
6,âYâÍ,3331124270,23.88475351895007,7706698.998356767,1626.605689278454,0.861189393171042,4,1822.976272182213,0.6085071995157867,2.0,2291.1519777758454,0.5718038873324028,1.0,850.0484286123376,0.8933724910703695,5,3008.4636492172262,0.5492098481168761,1.0,1335.9836200876446,0.6778829093111038,9.0,2126.4694561706888,0.6029139373587772,3,1539.7586118619076,0.551526511167774,0.0,5765.865442235053,0.0,0.0,3275.9218263254606,0.4742608274948967,1.0,106.47495060434238,0.9999874915735802,52,399.4387128309465,0.9976866609370314,58,2956.8971027997795,0.3553018214240841,5,2228.437772443029,0.6029054838791679,3.0,889.0012431113679,0.9216447815734243,8,1824.8766759021887,0.7041106313923003,8,13107.606280944728,0.0,0.0,6335.546787020923,0.0,0.0,3752.0430181660195,0.11584800470304261,0.0,124.80953970947485,0.9999999999999651,40,1347.288372431335,0.8989557156238291,5,2610.132374271813,0.5551118210406347,1,383.70820839020786,0.999315927218929,61,18445,51,40,10433,7510,18306,274,2946,3415,2171,2695,868,114,2005,905,866,1529,21367,2148,1165,1858,1766,1542,1301,1523,1969,3580,22615,2043,1201,1854,1679,1465,1298,1556,2233,4806,5030,18445,1620,15460,7008,318,10434,62,2786,1126,2008,18276,8030,360,10540,70,2830,1496,32.74456803565476,15.516834931302144
7,ãvó¢ïl,3929309539,16.650801957958816,10361978.999013504,506.3227013585329,0.758044271010129,5,535.4685760395986,0.5813531221842583,3.0,955.0623695128454,0.6057650668301763,2.0,891.1617399567093,0.7019978842577921,4,945.5976658948185,0.5603642075514516,5.0,263.5345721445905,0.764113638049243,4.0,920.7720922877261,0.6217378811538783,3,1705.1685786227615,0.7218270335260762,1.0,1180.5874906740667,0.5080169962845265,1.0,7634.675874764467,0.0,0.0,208.8249117819956,0.9995051677831731,30,271.13291878638876,0.9959034664889972,44,817.3741032193387,0.7098183391089041,4,1228.0209962479557,0.5318543797515742,1.0,517.3720248307122,0.8422578065914395,15,604.0260209522821,0.7810776119573838,9,12993.801329383736,0.0,0.0,5086.135092655336,0.0,0.0,600.8117939284895,0.6788563040508446,9.0,354.3089440194773,1.0000000000001092,47,656.4441558825931,0.8133403647321578,11,1203.283722302051,0.5084850774005891,1,350.9621475125804,0.9974715199932808,50,21465,36,37,13070,7865,22646,311,3716,4110,2631,2949,2067,95,2400,937,1139,1681,25765,3119,1764,2215,2006,1554,1395,1546,1793,3605,25649,3003,1681,2127,1802,1497,1365,1686,2062,4658,6296,21465,4836,17074,7970,306,11662,84,2542,2964,5364,19620,8894,328,11762,86,2582,3480,30.198641307917736,28.06063522028837
8,ñkâ∫âY,2188035662,12.306519110887407,10268731.449639233,911.9477727259858,0.8671525424789777,4,394.0954491271857,0.7320792961665202,3.0,1137.044729018832,0.8771698959482371,3.0,300.26591381605436,0.7335659084899753,5,1027.1141097491625,0.5401981622594424,2.0,1106.3243354414549,0.7100959667083615,2.0,1123.042768702185,0.745469548204625,2,1171.2738883658849,0.6777805773259606,1.0,3809.230207826996,0.0,0.0,10324.370591917399,0.0,0.0,569.9720441023802,0.9989542685839023,47,605.1146689575971,0.9525121073557512,34,1228.60508867887,0.49176792950086795,3,1021.1224020885965,0.7734959500212067,2.0,295.0515794837266,0.8688035983636777,13,877.6378374522023,0.7787769374253646,3,14564.133046536663,0.0,0.0,5978.398695266661,0.0,0.0,763.4743809571103,0.8328025074462381,5.0,627.3841821087827,0.9562751987381846,32,1011.1898022816403,0.9312132656235298,6,1071.0049174561268,0.6994780020888179,1,624.03579472188,0.9581034264065731,36,18389,128,81,11682,6092,20225,289,3673,3807,2359,2988,832,310,1915,881,1152,1448,21648,2568,1365,1857,1810,1518,1313,1351,1610,2894,22823,2425,1392,1938,1746,1411,1301,1462,1828,4100,5476,18389,1952,18420,3400,366,11990,42,2170,800,2324,21148,3730,402,12070,42,2196,900,51.60566093733684,34.932223826116605
9,êº,4074457427,120.60199482279579,27684289.285388824,933.8106464667516,0.5978659487153504,5,1422.6232725656566,0.492531313582508,3.0,6609.8931694675775,0.0,0.0,1187.8663914339938,0.5030203869278345,5,1187.4045840997132,0.5312301618961109,5.0,2445.3699998913225,0.5767806670719415,7.0,1236.3920862568298,0.5351789144849234,3,2983.6620142929028,0.4062030801111362,2.0,9150.746335025768,0.0,0.0,14722.328067629302,0.0,0.0,498.5640139134019,0.9430674037675152,46,541.1334172307235,0.9163399132928371,45,2797.2010221664636,0.41401004453876583,6,7032.916546817588,0.0,0.0,691.4934614854301,0.8001423611922392,18,1604.2841672149664,0.6945232743266918,5,13251.579522248574,0.0,0.0,1037.7941709785678,0.42315708477711117,1.0,1037.7941709785678,0.6451356344020719,6.0,488.47270597061095,0.95068751666775,54,1559.7399587168034,0.7086024434795414,11,1202.792727579676,0.5420428108430411,3,1101.3871593458878,0.9655570615889114,54,18079,328,252,10121,6985,19788,335,2596,3701,1969,2914,1274,823,1885,987,1211,1485,22717,2183,1362,1726,1583,1487,1393,1625,2019,3623,23224,2091,1198,1518,1550,1409,1402,1740,2169,5866,5357,18079,2030,6072,7102,228,15506,58,3218,1392,2296,7486,8534,304,15680,58,3282,1588,55.061524617878185,44.42096370993957
