公共施設種別コード（ＰＯＩコード）,名称,名称_カナ,郵便番号,所在地,電話番号,FAX番号,URL,緯度,経度,創立年,学級数,給食（完全給食実施＝1、未実施＝0）
512,追浜中学校,ヨコスカシリツオッパマチュウガッコウ,237-0061,神奈川県横須賀市夏島町12,046-865-6141,046-865-6212,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000300.html,35.319493,139.632888,1961,15,0
512,鷹取中学校,ヨコスカシリツタカトリチュウガッコウ,237-0066,神奈川県横須賀市湘南鷹取2-30-1,046-866-3800,046-866-3906,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000343.html,35.307673,139.622339,1980,9,0
512,田浦中学校,ヨコスカシリツタウラチュウガッコウ,237-0076,神奈川県横須賀市船越町7-66,046-861-6115,046-861-6399,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000342.html,35.302674,139.631648,1947,15,0
512,坂本中学校,ヨコスカシリツサカモトチュウガッコウ,238-0043,神奈川県横須賀市坂本町1-19,046-822-2385,046-823-0753,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000340.html,35.271626,139.658865,1947,14,0
512,不入斗中学校,ヨコスカシリツイリヤマズチュウガッコウ,238-0043,神奈川県横須賀市坂本町1-19,046-823-0566,046-823-2648,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000338.html,35.272616,139.660684,1947,12,0
512,常葉中学校,ヨコスカシリツトキワチュウガッコウ,238-0004,神奈川県横須賀市小川町18,046-825-7410,046-821-4505,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000337.html,35.281645,139.674193,1960,15,0
512,公郷中学校,ヨコスカシリツクゴウチュウガッコウ,238-0022,神奈川県横須賀市公郷町5-81,046-852-5766,046-852-5828,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000336.html,35.256987,139.678763,1971,12,0
512,池上中学校,ヨコスカシリツイケガミチュウガッコウ,238-0035,神奈川県横須賀市池上3-5-1,046-851-1255,046-851-1267,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000335.html,35.261607,139.647285,1947,13,0
512,衣笠中学校,ヨコスカシリツキヌガサチュウガッコウ,238-0032,神奈川県横須賀市平作2-31-1,046-853-5993,046-853-6011,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000334.html,35.252728,139.652435,1978,15,0
512,大矢部中学校,ヨコスカシリツオオヤベチュウガッコウ,238-0023,神奈川県横須賀市森崎5-14-2,046-834-1326,046-834-1391,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000333.html,35.244849,139.665694,1984,17,0
