男女,市区町村コード,町丁字コード,地域階層レベル,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数,徒歩のみ,鉄道・電車,乗合バス,勤め先・学校のバス,自家用車,ハイヤー・タクシー,オートバイ,自転車,その他,利用交通手段「不詳」
総数,14101,-,1,,,,神奈川県,横浜市鶴見区,,,136205,11206,76418,31982,2091,16565,365,4734,20595,1739,5034
総数,14101,10,2,,,,神奈川県,横浜市鶴見区,大黒町,,18,2,-,-,-,-,-,-,-,-,16
総数,14101,30,3,,,,神奈川県,横浜市鶴見区,生麦,,6328,571,4001,584,124,494,13,184,728,67,316
総数,14101,3001,4,合算地域あり,,3002,神奈川県,横浜市鶴見区,生麦,一丁目,1011,134,595,106,10,49,2,31,95,15,100
総数,14101,3002,4,秘匿地域,3001,,神奈川県,横浜市鶴見区,生麦,二丁目,X,X,X,X,X,X,X,X,X,X,X
総数,14101,3003,4,,,,神奈川県,横浜市鶴見区,生麦,三丁目,1771,166,1117,170,32,153,3,42,195,25,79
総数,14101,3004,4,,,,神奈川県,横浜市鶴見区,生麦,四丁目,2045,165,1293,164,45,182,4,70,272,13,71
総数,14101,3005,4,,,,神奈川県,横浜市鶴見区,生麦,五丁目,1501,106,996,144,37,110,4,41,166,14,66
総数,14101,80,3,,,,神奈川県,横浜市鶴見区,岸谷,,5510,397,3610,825,72,541,19,161,599,61,138
総数,14101,8001,4,,,,神奈川県,横浜市鶴見区,岸谷,一丁目,1124,88,756,118,22,83,3,33,113,11,35
総数,14101,8002,4,,,,神奈川県,横浜市鶴見区,岸谷,二丁目,983,75,619,167,15,101,3,35,110,10,21
総数,14101,8003,4,,,,神奈川県,横浜市鶴見区,岸谷,三丁目,1878,134,1203,310,22,226,6,51,233,23,36
総数,14101,8004,4,,,,神奈川県,横浜市鶴見区,岸谷,四丁目,1525,100,1032,230,13,131,7,42,143,17,46
総数,14101,120,3,,,,神奈川県,横浜市鶴見区,鶴見,,1777,166,1176,145,22,92,6,29,94,16,166
総数,14101,12001,4,,,,神奈川県,横浜市鶴見区,鶴見,一丁目,1251,112,905,89,20,73,4,18,79,10,40
総数,14101,12002,4,,,,神奈川県,横浜市鶴見区,鶴見,二丁目,526,54,271,56,2,19,2,11,15,6,126
総数,14101,140,3,,,,神奈川県,横浜市鶴見区,寺谷,,2318,250,1585,334,38,154,5,37,173,21,94
総数,14101,14001,4,,,,神奈川県,横浜市鶴見区,寺谷,一丁目,1154,101,830,191,21,75,3,16,84,7,27
総数,14101,14002,4,,,,神奈川県,横浜市鶴見区,寺谷,二丁目,1164,149,755,143,17,79,2,21,89,14,67
総数,14101,160,2,,,,神奈川県,横浜市鶴見区,諏訪坂,,882,78,509,184,15,106,6,19,131,16,41
総数,14101,170,2,,,,神奈川県,横浜市鶴見区,豊岡町,,2712,293,1923,226,35,137,12,24,136,27,120
総数,14101,180,2,,,,神奈川県,横浜市鶴見区,佃野町,,2336,236,1520,239,32,180,2,37,271,23,61
総数,14101,190,3,,,,神奈川県,横浜市鶴見区,馬場,,7529,479,3805,3494,85,1414,29,453,766,100,221
総数,14101,19001,4,,,,神奈川県,横浜市鶴見区,馬場,一丁目,1046,79,509,432,17,213,9,68,97,9,35
総数,14101,19002,4,,,,神奈川県,横浜市鶴見区,馬場,二丁目,1242,72,616,603,14,242,6,90,132,20,32
総数,14101,19003,4,,,,神奈川県,横浜市鶴見区,馬場,三丁目,1295,101,625,671,20,229,3,82,129,16,35
