"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"秋谷公園","","神奈川県横須賀市秋谷４５４０番地","","","","トイレなし 面積：625㎡ 昭和50年4月1日開設","","","","","139.592093793761","35.2506325168725","街区公園（西部）"
"秋谷第２公園","","神奈川県横須賀市秋谷５２６０番地","","","","トイレなし 面積：1,037㎡ 昭和50年4月1日開設","","","","","139.591140871408","35.2504535391615","街区公園（西部）"
"秋谷１丁目公園","","神奈川県横須賀市秋谷１丁目７２４番地","","","","トイレなし 面積：243㎡ 平成5年4月1日開設","","","","","139.607851443068","35.2359123195951","街区公園（西部）"
"太田和１丁目公園","","神奈川県横須賀市太田和１丁目１０７１番地","","","","トイレなし 面積：1,466㎡ 平成5年4月1日開設","","","","","139.636730019955","35.2225699972158","街区公園（西部）"
"太田和１丁目第２公園","","神奈川県横須賀市太田和１丁目１０７１番地","","","","トイレあり 面積：3,231㎡ 平成5年4月1日開設","","","","","139.636827009516","35.2217990769117","街区公園（西部）"
"太田和１丁目第３公園","","神奈川県横須賀市太田和１丁目１４６５番地","","","","トイレなし 面積：1,175㎡ 平成5年4月1日開設","","","","","139.636733013837","35.2211111469997","街区公園（西部）"
"太田和１丁目第４公園","","神奈川県横須賀市太田和１丁目１４６５番地","","","","トイレなし 面積：1,572㎡ 平成5年4月1日開設","","","","","139.636724012756","35.2206741918159","街区公園（西部）"
"荻野公園","","神奈川県横須賀市荻野２３０番地","","","","トイレなし 面積：1,376㎡ 昭和61年4月1日開設","","","","","139.629540601525","35.2247217178939","街区公園（西部）"
"久留和公園","","神奈川県横須賀市秋谷４４２４番地","","","","トイレなし 面積：1,173㎡ 昭和51年4月1日開設","","","","","139.592623743908","35.2479978208641","街区公園（西部）"
"武１丁目公園","","神奈川県横須賀市武１丁目１５２０番地","","","","トイレなし 面積：755㎡ 昭和51年4月1日開設","","","","","139.651633840613","35.2272845835303","街区公園（西部）"
"武１丁目第２公園","","神奈川県横須賀市武１丁目１８４３番地","","","","トイレなし 面積：404㎡ 昭和52年4月1日開設","","","","","139.65531448457","35.228214462562","街区公園（西部）"
"武１丁目第３公園","","神奈川県横須賀市武１丁目１３１７番地","","","","トイレなし 面積：168㎡ 昭和46年4月1日開設","","","","","139.65275371423","35.2292003790283","街区公園（西部）"
"武３丁目公園","","神奈川県横須賀市武３丁目１３８番地","","","","トイレなし 面積：1,421㎡ 平成5年4月1日開設","","","","","139.643202526275","35.2214171517482","街区公園（西部）"
"武４丁目公園","","神奈川県横須賀市武４丁目１０１１番地","","","","トイレなし 面積：330㎡ 昭和51年4月1日開設","","","","","139.643581512267","35.2236479395669","街区公園（西部）"
"武４丁目第２公園","","神奈川県横須賀市武４丁目９７１番地","","","","トイレなし 面積：789㎡ 平成5年4月1日開設","","","","","139.642015637006","35.2249448008669","街区公園（西部）"
"武４丁目第３公園","","神奈川県横須賀市武４丁目９７１番地","","","","トイレなし 面積：993㎡ 平成5年4月1日開設","","","","","139.644192475263","35.2249228225797","街区公園（西部）"
"武５丁目公園","","神奈川県横須賀市武５丁目１０３３番地","","","","トイレなし 面積：1,160㎡ 昭和55年4月1日開設","","","","","139.644489472643","35.2276855627364","街区公園（西部）"
"武５丁目第２公園","","神奈川県横須賀市武５丁目１１０８番地","","","","トイレなし 面積：1,516㎡ 昭和55年4月1日開設","","","","","139.647643222682","35.2277835727077","街区公園（西部）"
"武５丁目第３公園","","神奈川県横須賀市武５丁目１１４２番地","","","","トイレなし 面積：4,960㎡ 昭和55年4月1日開設","","","","","139.649249047248","35.2294743762892","街区公園（西部）"
"武山公園","","神奈川県横須賀市林１丁目２２０９番地","","","","トイレあり 面積：2,413㎡ 昭和27年3月20日開設","","","","","139.640874705447","35.2220170794556","街区公園（西部）"
"富浦公園","","神奈川県横須賀市長井１丁目１番２","","","","だれでもトイレあり 面積：22,697㎡ 昭和45年8月1日開設","","","","","139.624594970444","35.2080963731312","街区公園（西部）"
"長井岡崎公園","","神奈川県横須賀市長井３丁目９番１８０","","","","トイレあり 面積：2,316㎡ 昭和35年4月1日開設","","","","","139.611412995293","35.208653336308","街区公園（西部）"
"長井岡崎第２公園","","神奈川県横須賀市長井３丁目９番４６","","","","トイレなし 面積：368㎡ 昭和44年6月19日開設","","","","","139.613747816903","35.209586236177","街区公園（西部）"
"長井屋形公園","","神奈川県横須賀市長井５丁目２８８０番２７","","","","トイレなし 面積：612㎡ 昭和51年4月1日開設","","","","","139.610450056775","35.2051477063418","街区公園（西部）"
