"名称","名称カナ","住所","TEL","FAX","URL","備考","経度","緯度","分類"
"ライブタウン湘南野比自治会","ﾗｲﾌﾞﾀｳﾝｼﾖｳﾅﾝﾉﾋﾞｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1838.html","","139.690679786863","35.2164558785914","町内会・自治会マップ"
"森崎町内会","ﾓﾘｻｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1413.html","","139.679906836781","35.247921129165","町内会・自治会マップ"
"西逸見第２町内会","ﾆｼﾍﾐﾀﾞｲ2ﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1306.html","","139.640656065654","35.277899104938","町内会・自治会マップ"
"湘南鷹取六丁目自治会","ｼﾖｳﾅﾝﾀｶﾄﾘ6ﾁﾖｳﾒｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1128.html","","139.615011259785","35.3149926798578","町内会・自治会マップ"
"豊之坪町内会","ﾄﾖﾉﾂﾎﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1023.html","","139.666687031522","35.2700684403873","町内会・自治会マップ"
"田戸台町内会","ﾀﾄﾞﾀﾞｲﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1027.html","","139.674013782516","35.2698299128948","町内会・自治会マップ"
"東長浦自治会","ﾋｶﾞｼﾅｶﾞｳﾗｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1215.html","","139.641085795875","35.2871522215556","町内会・自治会マップ"
"安針台自治会","ｱﾝｼﾞﾝﾀﾞｲｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1308.html","","139.64453758751","35.2859368363274","町内会・自治会マップ"
"安浦第２町会","ﾔｽｳﾗﾀﾞｲ2ﾁﾖｳｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1008.html","","139.677746854053","35.2722565923456","町内会・自治会マップ"
"長浜町内会","ﾅｶﾞﾊﾏﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1927.html","","139.615464692554","35.1921998729841","町内会・自治会マップ"
"ザ・タワーハウス自治会","ｻﾞ.ﾀﾜ-ﾊｳｽｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1059.html","","139.678734233426","35.2727653978662","町内会・自治会マップ"
"リーデンス・コート自治会","ﾘ-ﾃﾞﾝｽｺ-ﾄｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1066.html","","139.67922840361","35.2723455560406","町内会・自治会マップ"
"三春町１丁目町内会","ﾐﾊﾙﾁﾖｳ1ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1011.html","","139.682222212681","35.2687501920588","町内会・自治会マップ"
"湘南池上自治会","ｼﾖｳﾅﾝｲｹｶﾞﾐｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1432.html","","139.642697257751","35.2698921339241","町内会・自治会マップ"
"第一平作町内会","ﾀﾞｲ1ﾋﾗｻｸﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1427.html","","139.64616381541","35.2576912204011","町内会・自治会マップ"
