名称,名称カナ,住所,TEL,FAX,URL,備考,備考２,備考３,備考４,備考５,経度,緯度,分類
追浜駅,,神奈川県横須賀市追浜町3-3,046-865-2982,,,京浜急行電鉄線,,,,,139.6248779,35.31575203,京急
京急田浦駅,,神奈川県横須賀市船越町5-2,046-861-3701,,,京浜急行電鉄線,,,,,139.6253878,35.30089271,京急
安針塚駅,,神奈川県横須賀市長浦町2-32,046-822-5907,,,京浜急行電鉄線,,,,,139.6429655,35.28678361,京急
逸見駅,,神奈川県横須賀市東逸見町2-18,046-822-5625,,,京浜急行電鉄線,,,,,139.6528745,35.28066401,京急
汐入駅,,神奈川県横須賀市汐入町2-41,046-823-1449,,,京浜急行電鉄線,,,,,139.6620336,35.28018392,京急
横須賀中央駅,,神奈川県横須賀市若松町2-25,046-822-1618,,,京浜急行電鉄線,,,,,139.6705228,35.27850381,京急
県立大学駅,,神奈川県横須賀市安浦町2-28,046-822-5534,,,京浜急行電鉄線,,,,,139.6770923,35.26993478,京急
堀ノ内駅,,神奈川県横須賀市三春町3-45,046-822-1653,,,京浜急行電鉄線,,,,,139.6869314,35.26329538,京急
京急大津駅,,神奈川県横須賀市大津町1-11-19,046-836-1722,,,京浜急行電鉄線,,,,,139.6961806,35.26081556,京急
馬堀海岸駅,,神奈川県横須賀市馬堀町3-20-1,046-841-0723,,,京浜急行電鉄線,,,,,139.7070798,35.25969559,京急
浦賀駅,,神奈川県横須賀市浦賀1-1-1,046-841-0167,,,京浜急行電鉄線,,,,,139.7150392,35.25081644,京急
新大津駅,,神奈川県横須賀市大津町4-7-1,046-836-0487,,,京浜急行電鉄線,,,,,139.6900111,35.25657605,京急
北久里浜駅,,神奈川県横須賀市根岸町2-29-1,046-836-1418,,,京浜急行電鉄線,,,,,139.6863214,35.24951685,京急
京急久里浜駅,,神奈川県横須賀市久里浜4-4-10,046-835-0075,,,京浜急行電鉄線,,,,,139.7021302,35.23112866,京急
ＹＲＰ野比駅,,神奈川県横須賀市野比1-9-1,046-848-1844,,,京浜急行電鉄線,,,,,139.685102,35.21242094,京急
京急長沢駅,,神奈川県横須賀市長沢1-35-1,046-848-0233,,,京浜急行電鉄線,,,,,139.6744431,35.20563176,京急
津久井浜駅,,神奈川県横須賀市津久井4-2-1,046-848-0234,,,京浜急行電鉄線,,,,,139.6657939,35.19867251,京急
三崎口駅,,神奈川県三浦市初声町下宮田495,046-888-4040,,,京浜急行電鉄線,,,,,139.6332107,35.17744207,京急
田浦駅,,神奈川県横須賀市田浦町1-6,050-2016-1600,,,ＪＲ横須賀線,電話はJR東日本テレフォンセンター（忘れ物専用ダイヤル：050-2016-1601）,,,,139.6369463,35.29270325,JR
横須賀駅,,神奈川県横須賀市東逸見町1-1,050-2016-1600,,,ＪＲ横須賀線,電話はJR東日本テレフォンセンター（忘れ物専用ダイヤル：050-2016-1601）,,,,139.6558742,35.2842037,JR
衣笠駅,,神奈川県横須賀市衣笠栄町2-65,050-2016-1600,,,ＪＲ横須賀線,電話はJR東日本テレフォンセンター（忘れ物専用ダイヤル：050-2016-1601）,,,,139.6613135,35.25734641,JR
久里浜駅,,神奈川県横須賀市久里浜1-3-7,050-2016-1600,,,ＪＲ横須賀線,電話はJR東日本テレフォンセンター（忘れ物専用ダイヤル：050-2016-1601）,,,,139.7012502,35.23315845,JR
