"名称","所在地","アクセス","情報","経度","緯度","分類"
"ドブ板通り商店街振興組合","横須賀市本町２丁目","京浜急行線｢汐入｣駅、京急バス｢本町１丁目｣","国道16号線に平行する通称"ドブ板通り"の両側をエリアとする商店会です。","139.6645157185","35.281370209481","商店街マップ"
"武山ロータリー商店会","横須賀市林２丁目","京急バス｢太田和｣","国道１３４号線林交差点から３方向に伸びた街路に点在する小売店等で組織される商店会です。","139.633272161001","35.2204507465283","商店街マップ"
"北久里浜商店街振興組合","横須賀市根岸町３丁目・４丁目","京浜急行線｢北久里浜｣駅","北久里浜駅前信号から県立横須賀工業高校に至る街路両側をエリアとする商店街組合です。","139.681827479519","35.2511470895089","商店街マップ"
"逸見中央商店街","横須賀市東逸見町２丁目","京浜急行線｢逸見｣駅","逸見郵便局前から逸見駅に至る街路をエリアとする商店会です。","139.652236137663","35.2812893739805","商店街マップ"
"坂本商友会","横須賀市坂本町５丁目","京急バス｢旧坂本小学校前｣｢坂本郵便局｣","横須賀・葉山線の坂本坂上付近から池上十字路付近に至る街路両側をエリアとする商店会です。","139.653373421962","35.2711548375935","商店街マップ"
"三笠ビル商店街協同組合","横須賀市大滝町２丁目","京浜急行線｢横須賀中央｣駅、京急バス｢大滝町｣","横須賀・三崎線に隣接する共同ビル群をエリアとする全蓋アーケード商店街組合です。","139.669109773585","35.2806326196942","商店街マップ"
"大滝商店街振興組合","横須賀市大滝町１丁目","京浜急行線｢横須賀中央｣駅、京急バス｢大滝町｣","横須賀・三崎線の大滝町信号周辺の小売店等で組織される商店会です。","139.668804610553","35.2815350039008","商店街マップ"
"浦賀駅前商店会","浦賀1丁目3丁目4丁目5丁目、東浦賀1丁目","京浜急行線｢浦賀｣駅","主に街路灯の維持管理の商店会。イベント系は浦賀商友会が担当。","139.714169623424","35.2500043917858","商店街マップ"
"千日通商店街振興組合","横須賀市大滝町２丁目","京浜急行線｢横須賀中央｣駅","横須賀・三崎線に平行する千日通りの両側をエリアとする商店街組合です。","139.670314472375","35.2808569693964","商店街マップ"
"野比駅前商店会","横須賀市野比１丁目","京浜急行線｢ＹＲＰ野比｣駅","ＹＲＰ野比駅周辺をエリアとする商店会です。","139.684132117612","35.2132495561885","商店街マップ"
"野比駅前商店会","横須賀市野比１丁目","京浜急行線｢ＹＲＰ野比｣駅","ＹＲＰ野比駅周辺をエリアとする商店会です。","139.685025742455","35.2112449386346","商店街マップ"
