"学校区名","所在地","電話番号","経度","緯度","分類"
"望洋小学校区","桜が丘1-50-1","046-835-7766","139.702815722943","35.2621914836939","小学校区"
"津久井小学校区","津久井5-2-1","046-848-5210","139.666000521284","35.2067143425517","小学校区"
"長井小学校区","長井5-9-1","046-856-1299","139.61908810061","35.1998600966901","小学校区"
"大楠小学校区","芦名1-29-18","046-856-0154","139.606651183967","35.2409460916726","小学校区"
"荻野小学校区","荻野8-1","046-857-0018","139.631588437932","35.2344259469706","小学校区"
"武山小学校区","太田和3-1-1","046-856-3126","139.64113422248","35.2263650677343","小学校区"
"鴨居小学校区","鴨居3-1-6","046-841-0140","139.735200998177","35.2501595288904","小学校区"
"根岸小学校区","大津町5-5-1","046-827-0208","139.687114617993","35.252739263405","小学校区"
"池上小学校区","池上3-5-1","046-851-0447","139.640516507831","35.2632600814345","小学校区"
"桜小学校区","坂本町1-19","046-822-3707","139.656651459455","35.2719109085197","小学校区"
"沢山小学校区","東逸見町3-35","046-822-0057","139.649228290863","35.2752570477415","小学校区"
"田浦小学校区","田浦町3-55","046-861-1251","139.633327693223","35.2881437933837","小学校区"
"鷹取小学校区","湘南鷹取4-7-1","046-866-1700","139.616595762163","35.3100774487753","小学校区"
"追浜小学校区","鷹取2-16-1","046-865-2231","139.622087503859","35.3132237901319","小学校区"
"森崎小学校区","森崎3-13-1","046-836-0233","139.675028941708","35.247249358196","小学校区"
"久里浜小学校区","久里浜6-6-1","046-835-0424","139.711268167561","35.2328538017326","小学校区"
"大津小学校区","大津町3-24-1","046-836-3537","139.694060617706","35.2551726662903","小学校区"
"大塚台小学校区","池田町3-1-1","048-830-5660","139.697658982988","35.2459869528731","小学校区"
"小原台小学校区","小原台3-1","046-841-4666","139.724855403685","35.2515521750021","小学校区"
"諏訪小学校区","小川町18","046-822-0058","139.668678741414","35.2893414750729","小学校区"
"汐入小学校区","汐入町2-53","046-822-0166","139.660631242023","35.2803038664418","小学校区"
"公郷小学校区","公郷町4-5","046-851-0029","139.675666891419","35.2546633725195","小学校区"
"鶴久保小学校区","不入斗町1-1","046-824-0974","139.665682667786","35.2656691298924","小学校区"
"逸見小学校区","西逸見町1-14","046-822-0201","139.64848844627","35.2833258077331","小学校区"
"長浦小学校区","安針台3-1","046-823-2324","139.64207447701","35.2882267863623","小学校区"
"城北小学校区","平作1-6-1","046-851-2210","139.652936180904","35.2572139253569","小学校区"
"衣笠小学校区","小矢部2-16-1","046-851-0334","139.658417554026","35.2474522076271","小学校区"
"明浜小学校区","久里浜6-7-1","046-835-0323","139.703558837884","35.2258593005132","小学校区"
"神明小学校区","神明町407","046-834-4315","139.699509977155","35.2235158257483","小学校区"
"野比東小学校区","野比4-6-1","046-847-1031","139.699745854428","35.2145916550876","小学校区"
"野比小学校区","野比1-25-1","046-849-7566","139.676996067051","35.2152574455024","小学校区"
"浦賀小学校区","浦賀3-8-1","046-841-0028","139.71448423245","35.2487636776038","小学校区"
"馬堀小学校区","馬堀町4-10-1","046-841-0234","139.708287749458","35.2591679549683","小学校区"
"望洋小学校区","桜が丘1-50-1","046-835-7766","139.703113843076","35.2530683918172","小学校区"
"粟田小学校区","ハイランド2-41-1","046-848-6465","139.673571021422","35.2250135599297","小学校区"
"富士見小学校区","武3-19-1","046-856-4757","139.652239799285","35.2204345474431","小学校区"
"浦郷小学校区","追浜東町2-14","046-865-3921","139.632559530736","35.3095591985129","小学校区"
"夏島小学校区","浦郷町4-35","046-865-3616","139.642430890437","35.3189416349797","小学校区"
"北下浦小学校区","長沢1-29-1","046-848-0037","139.677362407659","35.2064750796181","小学校区"
"岩戸小学校区","岩戸5-20-1","046-848-3460","139.674876876793","35.2304687227353","小学校区"
"大矢部小学校区","大矢部3-26-1","046-834-7200","139.677506067078","35.2380634642178","小学校区"
"高坂小学校区","西浦賀3-1-1","046-841-4201","139.717177988673","35.2364435071255","小学校区"
"山崎小学校区","三春町6-4","046-822-0059","139.685878888539","35.2646298177874","小学校区"
"豊島小学校区","上町3-21","046-822-0105","139.669623885858","35.27328182136","小学校区"
"田戸小学校区","米が浜通2-12","046-822-0212","139.681871631215","35.2706242681133","小学校区"
"走水小学校区","走水2-2-2","046-841-0203","139.727843959528","35.2605513280479","小学校区"
"船越小学校区","船越町5-34","046-861-1253","139.629081793748","35.3010060322707","小学校区"
